"","STEM_TAG","TREE_TAG","CENSUS","DATE","QUADRAT","SPECIES","DBH","DBH_YEAR","STATUS","VIGOR","DA","MORT_DATE","DOG_DATE","SC","SNAG_HEIGHT","SNAG_TD","RELATIVE_PLOT_X","RELATIVE_PLOT_Y","SEEDLING_BASAL_DIAM","SEEDLING_HEIGHT","LEANER_ANGLE","BT","DT","RT","SCAR","PITCH","BFB","OTHER_CODES","OTHER_HOM","DIRECTION","NW","FIELD_X","FIELD_Y","UTM_X","UTM_Y","UTM_Z","REMAPPING","PREVIOUS_TAGS","COMMENT","FIELD_1","FIELD_2","FIELD_3","FIELD_4","FIELD_5","UPDATED","DATABASE_HISTORY"
"222","08-0403","08-0403",6,"2020-07-28","F28","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,5.97,3,2.1,0.83,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",5.92,3.12,336522.33,4169657.01,3058.02,"","","","Caroline Kittle","","","","","2020-11-02",""
"223","08-0405","08-0405",1,"2015-08-27","F28","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,11.01,3.56,1.2,0.59,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",9.39,4.45,336527.37,4169657.57,3056.3,"","","","Erika Blomdahl","Alex Chacon","","","","2015-12-14",""
"224","08-0405","08-0405",6,"2020-07-28","F28","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,11.01,3.56,1.9,0.78,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",9.39,4.45,336527.37,4169657.57,3056.3,"","","","Caroline Kittle","","","","","2020-11-02",""
"225","08-0406","08-0406",1,"2015-08-27","F28","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,11.09,3.53,0.9,0.5,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",9.31,4.42,336527.45,4169657.54,3056.3,"","","","Erika Blomdahl","Alex Chacon","","","","2015-12-14",""
"226","08-0406","08-0406",6,"2020-07-28","F28","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,11.09,3.53,1,0.53,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",9.31,4.42,336527.45,4169657.54,3056.3,"","","","Caroline Kittle","","","","","2020-11-02",""
"227","08-0407","08-0407",1,"2015-08-27","F28","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,11.09,3.54,0.6,0.33,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",9.31,4.43,336527.45,4169657.55,3056.3,"","","","Erika Blomdahl","Alex Chacon","","","","2015-12-14",""
"228","08-0407","08-0407",6,"2020-07-28","F28","PIFL",NA,2020,1,NA,"A",NA,NA,NA,NA,NA,11.09,3.54,0.7,0.35,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",9.31,4.43,336527.45,4169657.55,3056.3,"","","2021: Mort this tree.","Caroline Kittle","","","","","2020-11-02",""
"229","08-0540","08-0540",1,"2015-09-01","E28","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,4.9,9.27,2.4,0.81,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",4.99,9.24,336521.46,4169642.96,3056.95,"","","","Erika Blomdahl","Alex Chacon","","","","2015-12-14",""
"230","08-0540","08-0540",6,"2020-07-28","E28","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,4.9,9.27,3.4,1.21,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",4.99,9.24,336521.46,4169642.96,3056.95,"","","","Caroline Kittle","","","","","2020-11-02",""
"231","08-0669","08-0669",1,"2015-09-01","E28","PILO",NA,2015,1,1,"A",NA,NA,NA,NA,NA,14.34,10.86,1.3,0.8,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",5.59,11.5,336530.9,4169644.55,3050.62,"","","","Erika Blomdahl","Alex Chacon","","","","2015-12-14",""
"232","08-0669","08-0669",6,"2020-07-28","E28","PILO",NA,2020,1,1,"A",NA,NA,NA,NA,NA,14.34,10.86,1.6,0.92,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",5.59,11.5,336530.9,4169644.55,3050.62,"","","","Caroline Kittle","","","","","2020-11-02",""
"233","08-0670","08-0670",1,"2015-09-01","E28","PILO",NA,2015,1,1,"A",NA,NA,NA,NA,NA,18.93,4.21,1.2,0.25,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",0.8,4.65,336535.49,4169637.9,3046.53,"","","","Erika Blomdahl","Alex Chacon","","","","2015-12-14",""
"234","08-0670","08-0670",6,"2020-07-28","E28","PILO",NA,2020,1,1,"A",NA,NA,NA,NA,NA,18.93,4.21,1.7,0.45,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",0.8,4.65,336535.49,4169637.9,3046.53,"","","","Caroline Kittle","","","","","2020-11-02",""
"235","08-0671","08-0671",2,"2016-07-25","E28","PIFL",NA,2016,2,1,"A",NA,NA,NA,NA,NA,16.94,4.78,3,1.24,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336533.5,4169638.47,3047.93,"",NA,"","James Lutz","","","","","2016-09-18",""
"236","08-0671","08-0671",6,"2020-07-28","E28","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,16.94,4.78,3.6,1.31,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336533.5,4169638.47,3047.93,"","","","Caroline Kittle","","","","","2020-11-02",""
"237","08-0672","08-0672",2,"2016-07-25","F28","PIFL",NA,2016,2,1,"A",NA,NA,NA,NA,NA,15.75,5.98,1.3,0.86,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336532.11,4169659.99,3053.18,"",NA,"","James Lutz","","","","","2016-09-18",""
"238","08-0672","08-0672",6,"2020-07-28","F28","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,15.75,5.98,1.8,0.91,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336532.11,4169659.99,3053.18,"","","","Caroline Kittle","","","","","2020-11-02",""
"239","08-0678","08-0678",2,"2016-07-25","P28","PILO",NA,2016,2,1,"A",NA,NA,NA,NA,NA,9.82,8.48,1.3,0.92,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336526.51,4169862.41,3088.12,"",NA,"","James Lutz","","","","","2016-09-18",""
"240","08-0678","08-0678",6,"2020-07-19","P28","PILO",NA,2020,1,1,"A",NA,NA,NA,NA,NA,9.82,8.48,1.3,0.97,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336526.51,4169862.41,3088.12,"","","","Caroline Kittle","","","","","2020-11-02",""
"241","08-0688","08-0688",2,"2016-07-25","S28","PIFL",NA,2016,2,1,"A",NA,NA,NA,NA,NA,18.3,4.55,3.3,1.05,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336534.94,4169918.52,3094.65,"",NA,"","James Lutz","","","","","2016-09-18",""
"242","08-0688","08-0688",6,"2020-08-05","S28","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,18.3,4.55,3.5,1.16,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336534.94,4169918.52,3094.65,"","","","Caroline Kittle","","","","","2020-11-02",""
"243","08-0690","08-0690",2,"2016-07-25","V28","PIFL",NA,2016,2,1,"A",NA,NA,NA,NA,NA,-0.17,2.49,0.9,0.35,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336516.51,4169976.38,3095.62,"",NA,"","James Lutz","","","","","2016-09-18",""
"244","08-0690","08-0690",6,"2020-08-06","V28","PIFL",NA,2020,1,2,"A",NA,NA,NA,NA,NA,-0.17,2.49,1.3,0.5,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336516.51,4169976.38,3095.62,"","","","Isabella Wetzler","","","","","2020-11-02",""
"245","08-0691","08-0691",2,"2016-07-25","V28","PIFL",NA,2016,2,1,"A",NA,NA,NA,NA,NA,-0.18,2.51,0.5,0.25,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336516.5,4169976.4,3095.62,"",NA,"","James Lutz","","","","","2016-09-18",""
"246","08-0691","08-0691",6,"2020-08-06","V28","PIFL",NA,2020,1,3,"A",NA,NA,NA,NA,NA,-0.18,2.51,0.7,0.28,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336516.5,4169976.4,3095.62,"","","","Isabella Wetzler","","","","","2020-11-02",""
"247","08-0692","08-0692",2,"2016-07-25","U28","PIFL",NA,2016,2,1,"A",NA,NA,NA,NA,NA,12.26,17.36,0.8,0.35,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336528.98,4169971.21,3096.8,"",NA,"","James Lutz","","","","","2016-09-18",""
"248","08-0692","08-0692",6,"2020-08-06","U28","PIFL",NA,2020,1,2,"A",NA,NA,NA,NA,NA,12.26,17.36,1.3,0.58,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336528.98,4169971.21,3096.8,"","","","Isabella Wetzler","","","","","2020-11-02",""
"249","08-0693","08-0693",2,"2016-07-25","U28","PIFL",NA,2016,2,1,"A",NA,NA,NA,NA,NA,12.27,17.36,0.4,0.23,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336528.99,4169971.21,3096.8,"",NA,"","James Lutz","","","","","2016-09-18",""
"250","08-0693","08-0693",6,"2020-08-06","U28","PIFL",NA,2020,1,2,"A",NA,NA,NA,NA,NA,12.27,17.36,0.7,0.32,NA,NA,NA,NA,NA,NA,NA,"Aphid20",NA,NA,"W",NA,NA,336528.99,4169971.21,3096.8,"","","","Isabella Wetzler","","","","","2020-11-02",""
"251","08-0694","08-0694",2,"2016-07-25","U28","PIFL",NA,2016,2,1,"A",NA,NA,NA,NA,NA,12.28,17.36,0.6,0.3,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336529,4169971.21,3096.8,"",NA,"","James Lutz","","","","","2016-09-18",""
"252","08-0694","08-0694",6,"2020-08-06","U28","PIFL",NA,2020,1,2,"A",NA,NA,NA,NA,NA,12.28,17.36,1,0.41,NA,NA,NA,NA,NA,NA,NA,"Aphid20",NA,NA,"W",NA,NA,336529,4169971.21,3096.8,"","","","Isabella Wetzler","","","","","2020-11-02",""
"253","09-0067","09-0067",1,"2015-08-27","G29","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,4.92,4.44,0.5,0.11,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",4.94,4.52,336541.67,4169677.88,3059.4,"","","Under 09-0365. Near 09-0065. ","Aspen Ward","Alex Chacon","","","","2015-12-14",""
"254","09-0067","09-0067",6,"2020-07-29","G29","PIFL",NA,2020,1,2,"A",NA,NA,NA,NA,NA,4.92,4.44,0.8,0.26,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",4.94,4.52,336541.67,4169677.88,3059.4,"","","Under 09-0365. Near 09-0065. ","Jake Burgoyne","Isabella Wetzler","","","","2020-11-02",""
"255","09-0075","09-0075",1,"2015-08-27","G29","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,6.48,7.08,2.7,1.16,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",6.51,7.22,336543.23,4169680.52,3059.87,"","","","Aspen Ward","Alex Chacon","","","","2015-12-14",""
"256","09-0075","09-0075",6,"2020-07-29","G29","PIFL",1.2,2020,1,1,"A",NA,NA,NA,NA,NA,6.48,7.08,4,1.49,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",6.51,7.22,336543.23,4169680.52,3059.87,"","","","Jake Burgoyne","","","","","2020-11-02",""
"257","09-0140","09-0140",1,"2015-08-27","G29","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,2.7,19.75,1.2,0.8,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",2.78,20.2,336539.45,4169693.19,3063.35,"","","","Aspen Ward","Martin Holdrege","","","","2015-12-14",""
"258","09-0140","09-0140",6,"2020-07-29","G29","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,2.7,19.75,1.5,0.89,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",2.78,20.2,336539.45,4169693.19,3063.35,"","","","Jake Burgoyne","","","","","2020-11-02",""
"259","09-0183","09-0183",1,"2015-08-27","G29","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,15.33,12.1,1.5,1.3,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",4.63,13.12,336552.08,4169685.54,3060.27,"","","","Aspen Ward","Martin Holdrege","","","","2015-12-14",""
"260","09-0183","09-0183",6,"2020-07-29","G29","PIFL",NA,2020,1,2,"A",NA,NA,NA,NA,NA,15.33,12.1,1.5,1.3,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",4.63,13.12,336552.08,4169685.54,3060.27,"","","","Jake Burgoyne","","","","","2020-11-02",""
"261","09-0239","09-0239",1,"2015-08-27","F29","PIFL",0.5,2015,1,1,"A",NA,NA,NA,NA,NA,10.95,19.1,3.2,1.48,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",10.96,20.47,336547.71,4169672.52,3056.59,"","","","Aspen Ward","Martin Holdrege","","","","2015-12-14",""
"262","09-0239","09-0239",6,"2020-07-29","F29","PIFL",1.2,2020,1,1,"A",NA,NA,NA,NA,NA,10.95,19.1,3.8,1.74,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",10.96,20.47,336547.71,4169672.52,3056.59,"","","","Isabella Wetzler","","","","","2020-11-02",""
"263","09-0285","09-0285",1,"2015-08-30","F29","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,17.01,16.27,0.2,0.04,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",1.97,16.6,336553.77,4169669.69,3055.1,"","","","Aspen Ward","Martin Holdrege","","","","2015-12-14",""
"264","09-0285","09-0285",6,"2020-07-29","F29","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,17.01,16.27,0.3,0.08,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",1.97,16.6,336553.77,4169669.69,3055.1,"","","","Isabella Wetzler","","","","","2020-11-02",""
"265","09-0299","09-0299",1,"2015-08-30","F29","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,8.49,13.82,2.8,0.72,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",10.46,15.32,336545.25,4169667.24,3056.37,"DX.DY in 2018","","","Aspen Ward","Martin Holdrege","","","","2015-12-14",""
"266","09-0299","09-0299",6,"2020-07-29","F29","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,8.49,13.82,3.6,1.07,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",10.46,15.32,336545.25,4169667.24,3056.37,"DX.DY in 2018","","","Isabella Wetzler","","","","","2020-11-02",""
"267","09-0311","09-0311",1,"2015-08-30","F29","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,15.1,6.65,0.7,0.22,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",1.27,6.5,336551.86,4169660.07,3052.79,"","","","Aspen Ward","Martin Holdrege","","","","2015-12-14",""
"268","09-0311","09-0311",6,"2020-07-29","F29","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,15.1,6.65,0.9,0.31,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",1.27,6.5,336551.86,4169660.07,3052.79,"","","","Isabella Wetzler","","","","","2020-11-02",""
"269","09-0312","09-0312",1,"2015-08-30","F29","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,14.34,6.64,2.8,0.93,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",2,6.28,336551.1,4169660.06,3052.79,"","","","Aspen Ward","Martin Holdrege","","","","2015-12-14",""
"270","09-0312","09-0312",6,"2020-07-29","F29","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,14.34,6.64,3.9,1.36,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",2,6.28,336551.1,4169660.06,3052.79,"","","","Jake Burgoyne","Isabella Wetzler","","","","2020-11-02",""
"271","09-0315","09-0315",1,"2015-08-30","F29","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,8.58,6.39,1.8,0.77,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",7.49,4.46,336545.34,4169659.81,3053.18,"","","","Aspen Ward","Martin Holdrege","","","","2015-12-14",""
"272","09-0315","09-0315",6,"2020-07-29","F29","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,8.58,6.39,2.4,0.98,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",7.49,4.46,336545.34,4169659.81,3053.18,"","","","Jake Burgoyne","Isabella Wetzler","","","","2020-11-02",""
"273","09-0316","09-0316",1,"2015-08-30","F29","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,10.91,5.8,2.6,0.8,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",5.08,4.51,336547.67,4169659.22,3053.03,"","","","Aspen Ward","Martin Holdrege","","","","2015-12-14",""
"274","09-0316","09-0316",6,"2020-07-29","F29","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,10.91,5.8,3.9,1.23,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",5.08,4.51,336547.67,4169659.22,3053.03,"","","","Jake Burgoyne","Isabella Wetzler","","","","2020-11-02",""
"275","09-0319","09-0319",1,"2015-08-30","F29","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,13.08,5.92,0.5,0.1,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",3.02,5.22,336549.84,4169659.34,3052.9,"","","","Aspen Ward","Martin Holdrege","","","","2015-12-14",""
"276","09-0319","09-0319",6,"2020-07-29","F29","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,13.08,5.92,0.7,0.19,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",3.02,5.22,336549.84,4169659.34,3052.9,"","","","Jake Burgoyne","Isabella Wetzler","","","","2020-11-02",""
"277","09-0345","09-0345",1,"2015-09-04","E29","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,7.83,18.44,0.6,0.18,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",7.26,19.65,336543.98,4169651.9,3049.9,"","","","Erika Blomdahl","Alex Chacon","","","","2015-12-14",""
"278","09-0345","09-0345",6,"2020-07-29","E29","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,7.83,18.44,0.9,0.73,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",7.26,19.65,336543.98,4169651.9,3049.9,"","","","Isabella Wetzler","","","","","2020-11-02",""
"279","09-0353","09-0353",1,"2015-09-04","E29","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,7.89,18.03,0.5,0.16,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",7.34,19.02,336544.04,4169651.49,3049.9,"DX.DY in 2018","","","Erika Blomdahl","Alex Chacon","","","","2015-12-14",""
"280","09-0353","09-0353",6,"2020-07-29","E29","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,7.89,18.03,0.6,0.21,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",7.34,19.02,336544.04,4169651.49,3049.9,"DX.DY in 2018","","","Isabella Wetzler","","","","","2020-11-02",""
"281","09-0354","09-0354",2,"2016-07-26","T29","PILO",NA,2016,2,1,"A",NA,NA,NA,NA,NA,10.2,0.82,3.3,1.3,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336546.86,4169934.25,3099.37,"",NA,"","Tucker Furniss","Sara Germain","","","","2016-09-18",""
"282","09-0354","09-0354",6,"2020-08-06","T29","PILO",NA,2020,1,1,"A",NA,NA,NA,NA,NA,10.2,0.82,3.3,1.3,NA,NA,NA,NA,NA,NA,NA,"Aphid20",NA,NA,"W",NA,NA,336546.86,4169934.25,3099.37,"","","","Lauren Walker","Isabella Wetzler","","","","2020-11-02",""
"283","10-0013","10-0013",1,"2015-07-22","H30","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,15.31,16.54,1.5,0.84,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",4.71,16.98,336572.02,4169709.42,3063.01,"","","","Aspen Ward","Joseph Cooper","","","","2015-12-14",""
"284","10-0013","10-0013",6,"2020-08-06","H30","PIFL",NA,2020,1,2,"A",NA,NA,NA,NA,NA,15.31,16.54,1.6,0.94,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",4.71,16.98,336572.02,4169709.42,3063.01,"","","","Jake Burgoyne","","","","","2020-11-02",""
"285","10-0031","10-0031",1,"2015-07-22","H30","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,10.21,9.96,1.9,1.24,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",9.82,10.38,336566.92,4169702.84,3063.28,"","","","Aspen Ward","Joseph Cooper","","","","2015-12-14",""
"286","10-0031","10-0031",6,"2020-08-06","H30","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,10.21,9.96,2.1,1.4,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",9.82,10.38,336566.92,4169702.84,3063.28,"","","","Jake Burgoyne","","","","","2020-11-02",""
"287","10-0032","10-0032",1,"2015-07-22","H30","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,10.23,9.92,2.3,1.14,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",9.8,10.34,336566.94,4169702.8,3063.28,"","","","Aspen Ward","Joseph Cooper","","","","2015-12-14",""
"288","10-0032","10-0032",6,"2020-08-06","H30","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,10.23,9.92,2.9,1.84,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",9.8,10.34,336566.94,4169702.8,3063.28,"","","","Jake Burgoyne","","","","","2020-11-02",""
"289","10-0064","10-0064",1,"2015-07-22","H30","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,11.22,-0.15,1.5,0.31,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",8.82,0.22,336567.93,4169692.73,3062.02,"","","","Aspen Ward","Joseph Cooper","","","","2015-12-14",""
"290","10-0064","10-0064",6,"2020-08-06","H30","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,11.22,-0.15,2.8,0.39,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",8.82,0.22,336567.93,4169692.73,3062.02,"","","","Jake Burgoyne","","","","","2020-11-02",""
"291","10-0066","10-0066",1,"2015-07-22","H30","PILO",NA,2015,1,1,"A",NA,NA,NA,NA,NA,15.17,0.04,1.8,0.53,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",4.87,0.41,336571.88,4169692.92,3061.68,"","","","Aspen Ward","Joseph Cooper","","","","2015-12-14",""
"292","10-0066","10-0066",6,"2020-08-06","H30","PILO",NA,2020,1,1,"A",NA,NA,NA,NA,NA,15.17,0.04,2.1,0.67,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",4.87,0.41,336571.88,4169692.92,3061.68,"","","","Jake Burgoyne","","","","","2020-11-02",""
"293","10-0068","10-0068",1,"2015-07-22","H30","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,16.31,-0.28,4,1,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",3.73,0.08,336573.02,4169692.6,3061.38,"","","","Aspen Ward","Joseph Cooper","","","","2015-12-14",""
"294","10-0068","10-0068",6,"2020-08-06","H30","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,16.31,-0.28,5.4,1.35,NA,NA,NA,NA,NA,20,NA,"",NA,"West","W",3.73,0.08,336573.02,4169692.6,3061.38,"","","","Jake Burgoyne","","","","","2020-11-02",""
"295","10-0070","10-0070",1,"2015-07-22","H30","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,16.51,15.16,1.1,0.82,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",3.51,15.6,336573.22,4169708.04,3062.94,"","","","Aspen Ward","Joseph Cooper","","","","2015-12-14",""
"296","10-0070","10-0070",6,"2020-08-06","H30","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,16.51,15.16,1.1,0.84,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",3.51,15.6,336573.22,4169708.04,3062.94,"","","","Jake Burgoyne","","","","","2020-11-02",""
"297","10-0082","10-0082",1,"2015-08-27","G30","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,8.55,3.24,1.4,0.62,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",8.55,3.39,336565.27,4169676.26,3057.53,"","","","Erika Blomdahl","Alex Chacon","","","","2015-12-14",""
"298","10-0082","10-0082",6,"2020-08-06","G30","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,8.55,3.24,2.3,1.11,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",8.55,3.39,336565.27,4169676.26,3057.53,"","","","Soren Struckman","","","","","2020-11-02",""
"299","10-0086","10-0086",1,"2015-08-27","G30","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,3.54,9.06,3.4,0.98,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",3.54,9.49,336560.26,4169682.08,3059.05,"","","","Erika Blomdahl","Alex Chacon","","","","2015-12-14",""
"300","10-0086","10-0086",6,"2020-08-06","G30","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,3.54,9.06,5.7,1.44,NA,NA,NA,NA,20,NA,NA,"",NA,"East","W",3.54,9.49,336560.26,4169682.08,3059.05,"","","Wire girdle 2020.","Soren Struckman","","","","","2020-11-02",""
"301","10-0087","10-0087",1,"2015-08-27","G30","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,0.36,11.12,2.6,0.99,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",0.37,11.65,336557.08,4169684.14,3059.64,"","","","Erika Blomdahl","Alex Chacon","","","","2015-12-14",""
"302","10-0087","10-0087",6,"2020-08-06","G30","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,0.36,11.12,4,1.36,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",0.37,11.65,336557.08,4169684.14,3059.64,"","","","Soren Struckman","","","","","2020-11-02",""
"303","10-0088","10-0088",1,"2015-08-27","G30","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,0.37,11.16,0.9,0.4,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",0.38,11.69,336557.09,4169684.18,3059.98,"","","","Erika Blomdahl","Alex Chacon","","","","2015-12-14",""
"304","10-0088","10-0088",6,"2020-08-06","G30","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,0.37,11.16,1,0.49,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",0.38,11.69,336557.09,4169684.18,3059.98,"","","","Soren Struckman","","","","","2020-11-02",""
"305","10-0123","10-0123",1,"2015-08-27","G30","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,12.36,17.57,1.5,0.43,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",7.67,18.62,336569.08,4169690.59,3061.51,"","","","Erika Blomdahl","Alex Chacon","","","","2015-12-14",""
"306","10-0123","10-0123",6,"2020-08-06","G30","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,12.36,17.57,2.5,0.86,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",7.67,18.62,336569.08,4169690.59,3061.51,"","","","Soren Struckman","","","","","2020-11-02",""
