"STEM_TAG","TREE_TAG","CENSUS","DATE","QUADRAT","SPECIES","DBH","DBH_YEAR","STATUS","VIGOR","DA","MORT_DATE","DOG_DATE","SC","SNAG_HEIGHT","SNAG_TD","RELATIVE_PLOT_X","RELATIVE_PLOT_Y","SEEDLING_BASAL_DIAM","SEEDLING_HEIGHT","LEANER_ANGLE","BT","DT","RT","SCAR","FRASS","PITCH","EE","MT","CONK","NEC","FLAG","SWELL","SPRT","BFB","OTHER_CODES","OTHER_HOM","DIRECTION","NW","FIELD_X","FIELD_Y","REFERENCE","DISTANCE","AZIMUTH","PLOT_X","PLOT_Y","UTM_X","UTM_Y","UTM_Z","REMAPPING","PREVIOUS_TAGS","COMMENT","PLOT","FIELD_1","FIELD_2","FIELD_3","FIELD_4","FIELD_5","DATA_ENTRY_1","DATA_ENTRY_2","DATA_CHECK","CTFS_DA","UPDATED","DNA","CORED","COOKIE","EST_ESTABLISHMENT","DATABASE_HISTORY"
"24-1288","24-1288",6,"2020-07-23","I24","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,1.01,12.05,3.1,1.02,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",0.99,12.37,"",NA,NA,NA,NA,336437.69,4169727.83,3100.07,"","","","UFDP","Jake Burgoyne","Lauren Walker","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-1289","24-1289",1,"2015-08-13","I24","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,0.93,12.09,2.6,1.16,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",0.91,12.41,"",NA,NA,NA,NA,336437.61,4169727.87,3100.07,"","","","UFDP","Aspen Ward","Alex Chacon","","","","Cherydan Onishi","Joseph Cooper","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"24-1289","24-1289",6,"2020-07-22","I24","PIFL",0.5,2020,1,1,"A",NA,NA,NA,NA,NA,0.93,12.09,3.2,1.4,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",0.91,12.41,"",NA,NA,NA,NA,336437.61,4169727.87,3100.07,"","","","UFDP","Sara Germain","Tucker Furniss","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-1290","24-1290",1,"2015-08-13","I24","PIFL",1.5,2015,1,1,"A",NA,NA,NA,NA,NA,0.82,11.96,4.4,1.91,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",0.79,12.28,"",NA,NA,NA,NA,336437.5,4169727.74,3100.07,"","","","UFDP","Aspen Ward","Alex Chacon","","","","Cherydan Onishi","Joseph Cooper","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"24-1290","24-1290",6,"2020-07-22","I24","PIFL",2.5,2020,1,1,"A",NA,NA,NA,NA,NA,0.82,11.96,5.7,2.47,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",0.79,12.28,"",NA,NA,NA,NA,336437.5,4169727.74,3100.07,"","","","UFDP","Sara Germain","Tucker Furniss","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-1291","24-1291",1,"2015-08-13","I24","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,0.93,12.63,1.2,0.39,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",0.91,12.97,"",NA,NA,NA,NA,336437.61,4169728.41,3100.31,"","","","UFDP","Aspen Ward","Alex Chacon","","","","Cherydan Onishi","Joseph Cooper","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"24-1291","24-1291",6,"2020-07-22","I24","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,0.93,12.63,1.4,0.46,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",0.91,12.97,"",NA,NA,NA,NA,336437.61,4169728.41,3100.31,"","","","UFDP","Sara Germain","Tucker Furniss","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-1294","24-1294",1,"2015-08-13","I24","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,6.37,11.53,6.7,1.36,NA,NA,NA,NA,"",NA,19,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",6.35,11.85,"",NA,NA,NA,NA,336443.05,4169727.31,3096.24,"","","","UFDP","Aspen Ward","Alex Chacon","","","","Cherydan Onishi","Joseph Cooper","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"24-1294","24-1294",6,"2020-07-22","I24","PIFL",0.5,2020,1,1,"A",NA,NA,NA,NA,NA,6.37,11.53,7,1.45,NA,NA,NA,NA,"",NA,19,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",6.35,11.85,"",NA,NA,NA,NA,336443.05,4169727.31,3096.24,"","","","UFDP","Sara Germain","Tucker Furniss","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-1303","24-1303",1,"2015-08-13","I24","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,2.03,13.79,1.9,0.74,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",2.01,14.16,"",NA,NA,NA,NA,336438.71,4169729.57,3100.04,"","","","UFDP","Aspen Ward","Alex Chacon","","","","Cherydan Onishi","Joseph Cooper","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"24-1303","24-1303",6,"2020-07-22","I24","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,2.03,13.79,2.1,0.91,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",2.01,14.16,"",NA,NA,NA,NA,336438.71,4169729.57,3100.04,"","","","UFDP","Sara Germain","Tucker Furniss","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-1304","24-1304",1,"2015-08-13","I24","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,2.05,13.85,2.6,0.72,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",2.03,14.22,"",NA,NA,NA,NA,336438.73,4169729.63,3100.04,"","","","UFDP","Aspen Ward","Alex Chacon","","","","Cherydan Onishi","Joseph Cooper","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"24-1304","24-1304",6,"2020-07-22","I24","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,2.05,13.85,2.3,0.83,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",2.03,14.22,"",NA,NA,NA,NA,336438.73,4169729.63,3100.04,"","","","UFDP","Sara Germain","Tucker Furniss","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-1322","24-1322",1,"2015-08-13","I24","PIFL",0.2,2015,1,1,"A",NA,NA,NA,NA,NA,18.01,3.19,3,1.58,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",2.04,3.52,"",NA,NA,NA,NA,336454.69,4169718.97,3084.99,"","","2 leaders.","UFDP","Aspen Ward","Alex Chacon","","","","Cherydan Onishi","Joseph Cooper","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"24-1322","24-1322",6,"2020-07-22","I24","PIFL",0.9,2020,1,1,"A",NA,NA,NA,NA,NA,18.01,3.19,3.1,1.69,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",2.04,3.52,"",NA,NA,NA,NA,336454.69,4169718.97,3084.99,"","","2 leaders.","UFDP","Sara Germain","Tucker Furniss","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-1323","24-1323",1,"2015-08-13","H24","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,2.83,1.88,2,0.62,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",2.83,1.98,"",NA,NA,NA,NA,336439.46,4169697.62,3090.16,"","","","UFDP","Aspen Ward","Alex Chacon","","","","Cherydan Onishi","Joseph Cooper","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"24-1323","24-1323",6,"2020-07-23","H24","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,2.83,1.88,3.4,0.81,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",2.83,1.98,"",NA,NA,NA,NA,336439.46,4169697.62,3090.16,"","","","UFDP","Lauren Walker","Jake Burgoyne","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-1337","24-1337",1,"2015-08-13","H24","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,6.23,19.19,3.8,1.18,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",6.18,20.15,"",NA,NA,NA,NA,336442.86,4169714.93,3093.33,"","","","UFDP","Aspen Ward","Alex Chacon","","","","Cherydan Onishi","Joseph Cooper","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"24-1337","24-1337",6,"2020-07-23","H24","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,6.23,19.19,4.9,1.32,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",6.18,20.15,"",NA,NA,NA,NA,336442.86,4169714.93,3093.33,"","","","UFDP","Lauren Walker","Jake Burgoyne","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-1369","24-1369",1,"2015-08-13","H24","PIFL",0.7,2015,1,1,"A",NA,NA,NA,NA,NA,14.46,12,4.7,1.54,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",5.6,12.6,"",NA,NA,NA,NA,336451.09,4169707.74,3084.21,"","","","UFDP","Aspen Ward","Alex Chacon","","","","Cherydan Onishi","Joseph Cooper","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"24-1369","24-1369",6,"2020-07-23","H24","PIFL",1,2020,1,1,"A",NA,NA,NA,NA,NA,14.46,12,5.3,1.83,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",5.6,12.6,"",NA,NA,NA,NA,336451.09,4169707.74,3084.21,"","","","UFDP","Jake Burgoyne","Lauren Walker","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-1370","24-1370",1,"2015-08-13","H24","PILO",1.5,2015,1,1,"A",NA,NA,NA,NA,NA,15.36,11.81,4.1,1.56,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",4.69,12.41,"",NA,NA,NA,NA,336451.99,4169707.55,3083.49,"","","","UFDP","Aspen Ward","Alex Chacon","","","","Cherydan Onishi","Joseph Cooper","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"24-1370","24-1370",6,"2020-07-23","H24","PILO",1.9,2020,1,1,"A",NA,NA,NA,NA,NA,15.36,11.81,4.6,1.86,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",4.69,12.41,"",NA,NA,NA,NA,336451.99,4169707.55,3083.49,"","","","UFDP","Jake Burgoyne","Lauren Walker","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-1371","24-1371",1,"2015-08-13","H24","PILO",NA,2015,1,1,"A",NA,NA,NA,NA,NA,15.37,11.86,2,1.22,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",4.69,12.46,"",NA,NA,NA,NA,336452,4169707.6,3083.49,"","","","UFDP","Aspen Ward","Alex Chacon","","","","Cherydan Onishi","Joseph Cooper","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"24-1371","24-1371",6,"2020-07-23","H24","PILO",NA,2020,1,1,"A",NA,NA,NA,NA,NA,15.37,11.86,2,1.25,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",4.69,12.46,"",NA,NA,NA,NA,336452,4169707.6,3083.49,"","","","UFDP","Jake Burgoyne","Lauren Walker","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-1372","24-1372",1,"2015-08-13","H24","PILO",NA,2015,1,1,"A",NA,NA,NA,NA,NA,15.32,11.7,2.8,1.11,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",4.74,12.3,"",NA,NA,NA,NA,336451.95,4169707.44,3083.49,"","","","UFDP","Aspen Ward","Alex Chacon","","","","Cherydan Onishi","Joseph Cooper","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"24-1372","24-1372",6,"2020-07-23","H24","PILO",NA,2020,1,1,"A",NA,NA,NA,NA,NA,15.32,11.7,2.9,1.14,NA,NA,NA,NA,"",NA,20,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",4.74,12.3,"",NA,NA,NA,NA,336451.95,4169707.44,3083.49,"","","","UFDP","Jake Burgoyne","Lauren Walker","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-1453","24-1453",1,"2015-08-13","F24","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,14.2,15,1.5,1.02,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",5.86,15.55,"",NA,NA,NA,NA,336450.83,4169670.79,3077.91,"","","","UFDP","Aspen Ward","Alex Chacon","","","","Cherydan Onishi","Joseph Cooper","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"24-1453","24-1453",6,"2020-07-23","F24","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,14.2,15,1.9,1.13,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",5.86,15.55,"",NA,NA,NA,NA,336450.83,4169670.79,3077.91,"","","","UFDP","Lauren Walker","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-1608","24-1608",1,"2015-08-13","G24","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,1.4,13.04,1.1,0.4,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",1.45,14.22,"",NA,NA,NA,NA,336438.1,4169688.79,3087.44,"","","Out of order.","UFDP","Aspen Ward","Alex Chacon","","","","Cherydan Onishi","Joseph Cooper","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"24-1608","24-1608",6,"2020-07-23","G24","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,1.4,13.04,1.9,0.56,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",1.45,14.22,"",NA,NA,NA,NA,336438.1,4169688.79,3087.44,"","","Out of order.","UFDP","Lauren Walker","Jake Burgoyne","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-1609","24-1609",1,"2015-08-13","G24","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,1.48,13.14,0.5,0.15,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",1.53,14.33,"",NA,NA,NA,NA,336438.18,4169688.89,3087.44,"","","Out of order.","UFDP","Aspen Ward","Alex Chacon","","","","Cherydan Onishi","Joseph Cooper","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"24-1609","24-1609",6,"2020-07-23","G24","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,1.48,13.14,0.8,0.3,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",1.53,14.33,"",NA,NA,NA,NA,336438.18,4169688.89,3087.44,"","","Out of order.","UFDP","Lauren Walker","Jake Burgoyne","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-1717","24-1717",6,"2020-07-23","I24","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,2.17,2.86,0.5,0.13,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",0,NA,"W",NA,NA,"24-1283",1.61,110,0,0,336438.85,4169718.64,0,"",NA,"",NA,"Jake Burgoyne","","","","","Flat World Solutions",NA,"Caroline Kittle","A","2020-10-05",NA,NA,NA,NA,""
"24-1855","24-1855",5,"2019-08-01","D24","PIFL",0.9,2019,1,1,"A",NA,NA,NA,NA,NA,19.64,15.05,2.6,1.58,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",0.35,15.72,"",NA,NA,NA,NA,336456.31,4169630.82,0,"","","","UFDP","Rosanise Odell","Mitch Westmoreland","Soren Struckman","","","Flat World Solutions","","Tucker Furniss","","2019-11-12",NA,NA,NA,NA,""
"24-1855","24-1855",6,"2020-07-23","D24","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,19.64,15.05,2.5,1.62,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",0.35,15.72,"",NA,NA,NA,NA,336456.31,4169630.82,0,"","","","UFDP","Lauren Walker","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-2087","24-2087",5,"2019-07-31","C24","PIFL",0.8,2019,1,1,"A",NA,NA,NA,NA,NA,16.2,16.9,4,1.71,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",3.86,18.67,"",NA,NA,NA,NA,336452.85,4169612.67,0,"","","","UFDP","Rosanise Odell","Annie Baker","","Mitch Westmoreland","","Flat World Solutions","","Tucker Furniss","","2019-11-12",NA,NA,NA,NA,""
"24-2087","24-2087",6,"2020-07-23","C24","PIFL",0.8,2020,1,1,"A",NA,NA,NA,NA,NA,16.2,16.9,4.5,1.59,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",3.86,18.67,"",NA,NA,NA,NA,336452.85,4169612.67,0,"","","","UFDP","Lauren Walker","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-2095","24-2095",5,"2019-07-31","C24","PIFL",NA,2019,1,1,"A",NA,NA,NA,NA,NA,16.5,14.93,0.6,0.45,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",3.55,16.54,"",NA,NA,NA,NA,336453.15,4169610.7,0,"","","","UFDP","Rosanise Odell","Annie Baker","","Mitch Westmoreland","","Flat World Solutions","","Tucker Furniss","","2019-11-12",NA,NA,NA,NA,""
"24-2095","24-2095",6,"2020-07-23","C24","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,16.5,14.93,2.5,1.18,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",3.55,16.54,"",NA,NA,NA,NA,336453.15,4169610.7,0,"","","","UFDP","Lauren Walker","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,"Stem tag corrected in 2020."
"24-2096","24-2096",5,"2019-07-31","C24","PIFL",NA,2019,1,1,"A",NA,NA,NA,NA,NA,16.6,14.92,2.2,1.18,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",3.45,16.54,"",NA,NA,NA,NA,336453.25,4169610.69,0,"","","","UFDP","Rosanise Odell","Annie Baker","","Mitch Westmoreland","","Flat World Solutions","","Tucker Furniss","","2019-11-12",NA,NA,NA,NA,""
"24-2096","24-2096",6,"2020-07-23","C24","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,16.6,14.92,0.7,0.45,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",3.45,16.54,"",NA,NA,NA,NA,336453.25,4169610.69,0,"","","","UFDP","Lauren Walker","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,"Stem tag corrected in 2020."
"24-2115","24-2115",5,"2019-07-31","C24","PIFL",0.7,2019,1,1,"A",NA,NA,NA,NA,NA,19.16,12.67,3,1.57,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",0.87,14.13,"",NA,NA,NA,NA,336455.81,4169608.44,0,"","","","UFDP","Rosanise Odell","Annie Baker","Soren Struckman","Mitch Westmoreland","","Flat World Solutions","","Tucker Furniss","","2019-11-12",NA,NA,NA,NA,""
"24-2115","24-2115",6,"2020-07-23","C24","PIFL",0.8,2020,1,1,"A",NA,NA,NA,NA,NA,19.16,12.67,3.2,1.6,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",0.87,14.13,"",NA,NA,NA,NA,336455.81,4169608.44,0,"","","","UFDP","Jake Burgoyne","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-2119","24-2119",5,"2019-07-31","C24","PIFL",NA,2019,1,1,"A",NA,NA,NA,NA,NA,16.76,9.75,3.7,1.34,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",3.25,10.96,"",NA,NA,NA,NA,336453.41,4169605.52,0,"","","","UFDP","Rosanise Odell","Annie Baker","Soren Struckman","Mitch Westmoreland","","Flat World Solutions","","Tucker Furniss","","2019-11-12",NA,NA,NA,NA,""
"24-2119","24-2119",6,"2020-07-23","C24","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,16.76,9.75,3.9,1.34,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",3.25,10.96,"",NA,NA,NA,NA,336453.41,4169605.52,0,"","","","UFDP","Jake Burgoyne","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-2120","24-2120",5,"2019-07-31","C24","PILO",NA,2019,1,1,"A",NA,NA,NA,NA,NA,16.98,9.14,2.4,1.05,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",3.03,10.31,"",NA,NA,NA,NA,336453.63,4169604.91,0,"","","","UFDP","Rosanise Odell","Annie Baker","Soren Struckman","Mitch Westmoreland","","Flat World Solutions","","Tucker Furniss","","2019-11-12",NA,NA,NA,NA,""
"24-2120","24-2120",6,"2020-07-23","C24","PILO",NA,2020,1,1,"A",NA,NA,NA,NA,NA,16.98,9.14,3,1.1,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",3.03,10.31,"",NA,NA,NA,NA,336453.63,4169604.91,0,"","","","UFDP","Jake Burgoyne","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-2126","24-2126",5,"2019-07-31","C24","PIFL",NA,2019,1,1,"A",NA,NA,NA,NA,NA,14.99,6.13,2.6,1.14,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",5,7.05,"",NA,NA,NA,NA,336451.64,4169601.9,0,"","","","UFDP","Rosanise Odell","Annie Baker","Soren Struckman","Mitch Westmoreland","","Flat World Solutions","","Tucker Furniss","","2019-11-12",NA,NA,NA,NA,""
"24-2126","24-2126",6,"2020-07-23","C24","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,14.99,6.13,2.6,1.2,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",5,7.05,"",NA,NA,NA,NA,336451.64,4169601.9,0,"","","","UFDP","Jake Burgoyne","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-2127","24-2127",5,"2019-07-31","C24","PIFL",0.7,2019,1,1,"A",NA,NA,NA,NA,NA,14.87,6.06,3.7,1.51,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",5.11,6.97,"",NA,NA,NA,NA,336451.52,4169601.83,0,"","","","UFDP","Rosanise Odell","Annie Baker","Soren Struckman","Mitch Westmoreland","","Flat World Solutions","","Tucker Furniss","","2019-11-12",NA,NA,NA,NA,""
"24-2127","24-2127",6,"2020-07-23","C24","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,14.87,6.06,3.7,1.7,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",5.11,6.97,"",NA,NA,NA,NA,336451.52,4169601.83,0,"","","","UFDP","Jake Burgoyne","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-2130","24-2130",5,"2019-07-31","C24","PIFL",NA,2019,1,1,"A",NA,NA,NA,NA,NA,15.71,3.46,0.7,0.41,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",4.26,4.17,"",NA,NA,NA,NA,336452.36,4169599.23,0,"","","","UFDP","Rosanise Odell","Annie Baker","Soren Struckman","Mitch Westmoreland","","Flat World Solutions","","Tucker Furniss","","2019-11-12",NA,NA,NA,NA,""
"24-2130","24-2130",6,"2020-07-23","C24","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,15.71,3.46,0.8,0.41,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",4.26,4.17,"",NA,NA,NA,NA,336452.36,4169599.23,0,"","","","UFDP","Jake Burgoyne","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-2133","24-2133",5,"2019-07-31","C24","PIFL",NA,2019,1,1,"A",NA,NA,NA,NA,NA,14.87,1.26,0.8,0.27,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",5.08,1.79,"",NA,NA,NA,NA,336451.52,4169597.03,0,"","","","UFDP","Rosanise Odell","Annie Baker","Soren Struckman","Mitch Westmoreland","","Flat World Solutions","","Tucker Furniss","","2019-11-12",NA,NA,NA,NA,""
"24-2133","24-2133",6,"2020-07-23","C24","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,14.87,1.26,0.9,0.28,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",5.08,1.79,"",NA,NA,NA,NA,336451.52,4169597.03,0,"","","","UFDP","Jake Burgoyne","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"24-2136","24-2136",5,"2019-07-30","A24","PIFL",NA,2019,1,1,"A",NA,NA,NA,NA,NA,2.34,10.62,1.3,0.41,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"East","W",2.29,11.09,"",NA,NA,NA,NA,336438.86,4169566.37,0,"","","","UFDP","Rosanise Odell","Annie Baker","Soren Struckman","Mitch Westmoreland","","Flat World Solutions","","Tucker Furniss","","2019-11-12",NA,NA,NA,NA,""
